% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 2000 MHz
% Wavelength: 0.149898 m
% Segments: N=668 (334 horiz + 334 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
%   omega = 1.0000
%   iterations = 1515
%   convergence = 9.89e-10
%   time = 4.51 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 1.48666348e-06, 2.13519430e-06)
( 9.21330100e-06, 1.64378161e-06)
( 1.61023665e-05, 1.81041565e-06)
( 2.29145005e-05, 2.03676683e-06)
( 2.96528550e-05, 2.29421790e-06)
( 3.63179291e-05, 2.56646607e-06)
( 4.29027359e-05, 2.84590877e-06)
( 4.93976038e-05, 3.12822627e-06)
( 5.57916911e-05, 3.41064567e-06)
( 6.20736404e-05, 3.69121134e-06)
( 6.82319010e-05, 3.96844011e-06)
( 7.42549070e-05, 4.24114206e-06)
( 8.01311878e-05, 4.50832054e-06)
( 8.58494417e-05, 4.76911312e-06)
( 9.13985906e-05, 5.02275495e-06)
( 9.67678221e-05, 5.26855528e-06)
( 1.01946625e-04, 5.50588188e-06)
( 1.06924820e-04, 5.73415038e-06)
( 1.11692584e-04, 5.95281687e-06)
( 1.16240478e-04, 6.16137273e-06)
( 1.20559466e-04, 6.35934076e-06)
( 1.24640937e-04, 6.54627254e-06)
( 1.28476726e-04, 6.72174633e-06)
( 1.32059127e-04, 6.88536565e-06)
( 1.35380913e-04, 7.03675813e-06)
( 1.38435351e-04, 7.17557475e-06)
( 1.41216217e-04, 7.30148919e-06)
( 1.43717807e-04, 7.41419748e-06)
( 1.45934949e-04, 7.51341761e-06)
( 1.47863019e-04, 7.59888943e-06)
( 1.49497944e-04, 7.67037446e-06)
( 1.50836216e-04, 7.72765586e-06)
( 1.51874896e-04, 7.77053844e-06)
( 1.52611625e-04, 7.79884868e-06)
( 1.53044623e-04, 7.81243480e-06)
( 1.53172702e-04, 7.81116689e-06)
( 1.52995260e-04, 7.79493699e-06)
( 1.52512291e-04, 7.76365924e-06)
( 1.51724380e-04, 7.71727008e-06)
( 1.50632706e-04, 7.65572836e-06)
( 1.49239041e-04, 7.57901556e-06)
( 1.47545745e-04, 7.48713595e-06)
( 1.45555764e-04, 7.38011681e-06)
( 1.43272625e-04, 7.25800860e-06)
( 1.40700430e-04, 7.12088518e-06)
( 1.37843849e-04, 6.96884400e-06)
( 1.34708111e-04, 6.80200630e-06)
