% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 5.800 GHz
% Wavelength: 0.051689 m
% Segments: N=1936 (968 horiz + 968 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1000
% iterations = 365
% convergence = 9.94e-10
% time = 94.52 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 1.13842510e-06,-8.01049282e-07)
( 4.12337715e-06,-4.07305138e-06)
( 6.93742435e-06,-7.03633407e-06)
( 9.73527256e-06,-9.97068065e-06)
( 1.25108976e-05,-1.28751677e-05)
( 1.52603465e-05,-1.57487095e-05)
( 1.79788528e-05,-1.85876879e-05)
( 2.06614093e-05,-2.13875980e-05)
( 2.33029327e-05,-2.41435613e-05)
( 2.58983446e-05,-2.68505492e-05)
( 2.84426129e-05,-2.95034948e-05)
( 3.09307791e-05,-3.20973556e-05)
( 3.33579774e-05,-3.46271529e-05)
( 3.57194493e-05,-3.70879991e-05)
( 3.80105567e-05,-3.94751183e-05)
( 4.02267934e-05,-4.17838629e-05)
( 4.23637951e-05,-4.40097273e-05)
( 4.44173492e-05,-4.61483604e-05)
( 4.63834039e-05,-4.81955761e-05)
( 4.82580765e-05,-5.01473639e-05)
( 5.00376615e-05,-5.19998974e-05)
( 5.17186383e-05,-5.37495435e-05)
( 5.32976784e-05,-5.53928696e-05)
( 5.47716520e-05,-5.69266516e-05)
( 5.61376343e-05,-5.83478804e-05)
( 5.73929117e-05,-5.96537681e-05)
( 5.85349868e-05,-6.08417542e-05)
( 5.95615839e-05,-6.19095104e-05)
( 6.04706533e-05,-6.28549459e-05)
( 6.12603754e-05,-6.36762113e-05)
( 6.19291648e-05,-6.43717027e-05)
( 6.24756730e-05,-6.49400646e-05)
( 6.28987912e-05,-6.53801931e-05)
( 6.31976529e-05,-6.56912378e-05)
( 6.33716356e-05,-6.58726038e-05)
( 6.34203619e-05,-6.59239526e-05)
( 6.33437005e-05,-6.58452033e-05)
( 6.31417666e-05,-6.56365321e-05)
( 6.28149215e-05,-6.52983729e-05)
( 6.23637723e-05,-6.48314153e-05)
( 6.17891707e-05,-6.42366043e-05)
( 6.10922113e-05,-6.35151377e-05)
( 6.02742296e-05,-6.26684642e-05)
( 5.93367995e-05,-6.16982801e-05)
( 5.82817304e-05,-6.06065263e-05)
( 5.71110633e-05,-5.93953841e-05)
( 5.58270675e-05,-5.80672713e-05)
( 5.44322357e-05,-5.66248368e-05)
( 5.29292793e-05,-5.50709557e-05)
( 5.13211234e-05,-5.34087238e-05)
( 4.96109007e-05,-5.16414507e-05)
( 4.78019460e-05,-4.97726539e-05)
( 4.58977888e-05,-4.78060516e-05)
( 4.39021475e-05,-4.57455551e-05)
( 4.18189214e-05,-4.35952612e-05)
( 3.96521831e-05,-4.13594440e-05)
( 3.74061711e-05,-3.90425465e-05)
( 3.50852809e-05,-3.66491714e-05)
( 3.26940567e-05,-3.41840726e-05)
( 3.02371825e-05,-3.16521449e-05)
( 2.77194729e-05,-2.90584150e-05)
