freq_GHz,N_segments,memory_MB,omega,iterations,conv_error,peak_current,mean_current,field_max,field_mean,field_shadow,complexity
0.1,34,0.02,0.110000,318,9.9600e-10,2.651455e-03,5.145260e-04,255.00,180.89,228.38,2
0.2,68,0.07,0.145000,257,9.3400e-10,2.217715e-03,3.158037e-04,255.00,165.60,229.25,3
0.3,102,0.16,0.120000,311,9.4700e-10,1.747344e-03,2.809212e-04,255.00,183.82,237.18,5
0.4,134,0.27,0.104000,364,9.6400e-10,1.166371e-03,2.435837e-04,255.00,204.12,243.23,3
0.5,168,0.43,0.100000,379,9.8700e-10,1.110906e-03,2.027710e-04,255.00,202.22,240.38,3
0.6,202,0.62,0.100000,376,9.9000e-10,1.299098e-03,1.782110e-04,255.00,203.31,238.86,3
0.7,234,0.84,0.120000,323,9.6900e-10,1.196389e-03,1.696672e-04,255.00,214.47,243.82,2
0.8,268,1.10,0.104000,374,9.6000e-10,8.504834e-04,1.616769e-04,255.00,213.90,243.87,2
0.9,302,1.39,0.109000,360,9.5300e-10,7.906950e-04,1.480964e-04,255.00,214.51,243.31,1
1.0,334,1.70,0.100000,382,9.9500e-10,9.662391e-04,1.378185e-04,255.00,214.26,242.32,1
1.1,368,2.07,0.100000,381,9.9700e-10,9.741142e-04,1.332915e-04,255.00,213.03,241.04,4
1.2,402,2.47,0.110000,355,9.7700e-10,7.445551e-04,1.300629e-04,255.00,210.90,240.05,3
1.3,434,2.87,0.106000,368,9.8800e-10,6.197527e-04,1.233034e-04,255.00,210.18,239.12,4
1.4,468,3.34,0.100000,380,9.7000e-10,7.774886e-04,1.167212e-04,255.00,209.17,238.01,3
1.5,502,3.85,0.102000,369,9.6600e-10,8.488876e-04,1.133625e-04,255.00,206.68,236.56,3
1.6,534,4.35,0.100000,375,9.9800e-10,7.016947e-04,1.117149e-04,255.00,205.33,235.40,2
1.7,568,4.92,0.107000,354,9.7400e-10,5.318073e-04,1.078460e-04,255.00,204.19,234.13,2
1.8,602,5.53,0.101000,360,9.9100e-10,6.488076e-04,1.032559e-04,255.00,203.14,233.14,1
1.9,634,6.13,0.104000,339,9.5600e-10,7.519113e-04,1.004500e-04,255.00,201.85,232.22,1
2.0,668,6.81,0.102000,326,9.9100e-10,6.642876e-04,9.940500e-05,255.00,200.25,231.24,2
2.1,702,7.52,0.103000,334,9.9300e-10,4.885965e-04,9.706785e-05,255.00,199.29,230.46,3
2.2,734,8.22,0.101000,355,9.6900e-10,5.387963e-04,9.371363e-05,255.00,198.62,229.85,2
